Frame,Lat,Lon,Altitude_m,Yaw_deg,Pitch_deg,Roll_deg
198,28.7503766,77.1133773,-0.05,274.09,-0.63,-0.82
199,28.7503767,77.1133774,-0.06,274.28,-0.62,-1.09
200,28.7503767,77.1133774,-0.06,274.28,-0.62,-1.09
201,28.7503767,77.1133774,-0.06,274.28,-0.62,-1.09
202,28.7503767,77.1133774,-0.06,274.28,-0.62,-1.09
203,28.7503767,77.1133774,-0.06,274.28,-0.62,-1.09
204,28.7503767,77.1133774,-0.06,274.28,-0.62,-1.09
205,28.7503767,77.1133774,-0.06,274.28,-0.62,-1.09
206,28.7503767,77.1133774,-0.06,274.28,-0.62,-1.09
207,28.7503768,77.1133775,-0.07,274.29,-0.58,-0.95
208,28.7503768,77.1133775,-0.07,274.29,-0.58,-0.95
209,28.7503768,77.1133775,-0.07,274.29,-0.58,-0.95
210,28.7503768,77.1133775,-0.07,274.29,-0.58,-0.95
211,28.7503768,77.1133775,-0.07,274.29,-0.58,-0.95
212,28.7503768,77.1133775,-0.07,274.29,-0.58,-0.95
213,28.7503768,77.1133775,-0.07,274.29,-0.58,-0.95
214,28.7503768,77.1133776,-0.08,274.31,-0.54,-1.03
215,28.7503768,77.1133776,-0.08,274.31,-0.54,-1.03
216,28.7503768,77.1133776,-0.08,274.31,-0.54,-1.03
217,28.7503768,77.1133776,-0.08,274.31,-0.54,-1.03
218,28.7503768,77.1133776,-0.08,274.31,-0.54,-1.03
219,28.7503768,77.1133776,-0.08,274.31,-0.54,-1.03
220,28.7503768,77.1133776,-0.08,274.31,-0.54,-1.03
221,28.7503768,77.1133776,-0.08,274.31,-0.54,-1.03
222,28.7503768,77.1133775,-0.1,274.28,-0.5,-1.01
223,28.7503768,77.1133775,-0.1,274.28,-0.5,-1.01
224,28.7503768,77.1133775,-0.1,274.28,-0.5,-1.01
225,28.7503768,77.1133775,-0.1,274.28,-0.5,-1.01
226,28.7503768,77.1133775,-0.1,274.28,-0.5,-1.01
227,28.7503768,77.1133775,-0.1,274.28,-0.5,-1.01
228,28.7503768,77.1133775,-0.1,274.28,-0.5,-1.01
229,28.7503767,77.1133775,-0.09,274.26,-0.56,-1.09
230,28.7503767,77.1133775,-0.09,274.26,-0.56,-1.09
231,28.7503767,77.1133775,-0.09,274.26,-0.56,-1.09
232,28.7503767,77.1133775,-0.09,274.26,-0.56,-1.09
233,28.7503767,77.1133775,-0.09,274.26,-0.56,-1.09
234,28.7503767,77.1133775,-0.09,274.26,-0.56,-1.09
235,28.7503767,77.1133775,-0.09,274.26,-0.56,-1.09
236,28.7503767,77.1133775,-0.09,274.26,-0.56,-1.09
237,28.7503767,77.1133774,-0.08,274.2,-0.59,-1.19
238,28.7503767,77.1133774,-0.08,274.2,-0.59,-1.19
239,28.7503767,77.1133774,-0.08,274.2,-0.59,-1.19
240,28.7503767,77.1133774,-0.08,274.2,-0.59,-1.19
241,28.7503767,77.1133774,-0.08,274.2,-0.59,-1.19
242,28.7503767,77.1133774,-0.08,274.2,-0.59,-1.19
243,28.7503767,77.1133774,-0.08,274.2,-0.59,-1.19
244,28.7503766,77.1133774,-0.08,274.24,-0.61,-1.17
245,28.7503766,77.1133774,-0.08,274.24,-0.61,-1.17
246,28.7503766,77.1133774,-0.08,274.24,-0.61,-1.17
247,28.7503766,77.1133774,-0.08,274.24,-0.61,-1.17
248,28.7503766,77.1133774,-0.08,274.24,-0.61,-1.17
249,28.7503766,77.1133774,-0.08,274.24,-0.61,-1.17
250,28.7503766,77.1133774,-0.08,274.24,-0.61,-1.17
251,28.7503766,77.1133774,-0.08,274.24,-0.61,-1.17
252,28.7503766,77.1133773,-0.08,274.25,-0.6,-1.11
253,28.7503766,77.1133773,-0.08,274.25,-0.6,-1.11
254,28.7503766,77.1133773,-0.08,274.25,-0.6,-1.11
255,28.7503766,77.1133773,-0.08,274.25,-0.6,-1.11
256,28.7503766,77.1133773,-0.08,274.25,-0.6,-1.11
257,28.7503766,77.1133773,-0.08,274.25,-0.6,-1.11
258,28.7503766,77.1133773,-0.08,274.25,-0.6,-1.11
259,28.7503765,77.1133773,-0.05,274.19,-0.55,-1.01
260,28.7503765,77.1133773,-0.05,274.19,-0.55,-1.01
261,28.7503765,77.1133773,-0.05,274.19,-0.55,-1.01
262,28.7503765,77.1133773,-0.05,274.19,-0.55,-1.01
263,28.7503765,77.1133773,-0.05,274.19,-0.55,-1.01
264,28.7503765,77.1133773,-0.05,274.19,-0.55,-1.01
265,28.7503765,77.1133773,-0.05,274.19,-0.55,-1.01
266,28.7503765,77.1133773,-0.05,274.19,-0.55,-1.01
267,28.7503765,77.1133773,-0.03,274.13,-0.54,-1.05
268,28.7503765,77.1133773,-0.03,274.13,-0.54,-1.05
269,28.7503765,77.1133773,-0.03,274.13,-0.54,-1.05
270,28.7503765,77.1133773,-0.03,274.13,-0.54,-1.05
271,28.7503765,77.1133773,-0.03,274.13,-0.54,-1.05
272,28.7503765,77.1133773,-0.03,274.13,-0.54,-1.05
273,28.7503765,77.1133773,-0.03,274.13,-0.54,-1.05
274,28.7503765,77.1133773,-0.02,274.18,-0.62,-1.04
275,28.7503765,77.1133773,-0.02,274.18,-0.62,-1.04
276,28.7503765,77.1133773,-0.02,274.18,-0.62,-1.04
277,28.7503765,77.1133773,-0.02,274.18,-0.62,-1.04
278,28.7503765,77.1133773,-0.02,274.18,-0.62,-1.04
279,28.7503765,77.1133773,-0.02,274.18,-0.62,-1.04
280,28.7503765,77.1133773,-0.02,274.18,-0.62,-1.04
281,28.7503765,77.1133773,-0.02,274.18,-0.62,-1.04
282,28.7503765,77.1133773,-0.02,274.18,-0.85,-1.03
283,28.7503765,77.1133773,-0.02,274.18,-0.85,-1.03
284,28.7503765,77.1133773,-0.02,274.18,-0.85,-1.03
285,28.7503765,77.1133773,-0.02,274.18,-0.85,-1.03
286,28.7503765,77.1133773,-0.02,274.18,-0.85,-1.03
287,28.7503765,77.1133773,-0.02,274.18,-0.85,-1.03
288,28.7503765,77.1133773,-0.02,274.18,-0.85,-1.03
289,28.7503764,77.1133773,-0.02,274.26,-0.76,-1.12
290,28.7503764,77.1133773,-0.02,274.26,-0.76,-1.12
291,28.7503764,77.1133773,-0.02,274.26,-0.76,-1.12
292,28.7503764,77.1133773,-0.02,274.26,-0.76,-1.12
293,28.7503764,77.1133773,-0.02,274.26,-0.76,-1.12
294,28.7503764,77.1133773,-0.02,274.26,-0.76,-1.12
295,28.7503764,77.1133773,-0.02,274.26,-0.76,-1.12
296,28.7503764,77.1133773,-0.02,274.26,-0.76,-1.12
297,28.7503763,77.1133773,-0.03,274.23,-0.72,-1.02
298,28.7503763,77.1133773,-0.03,274.23,-0.72,-1.02
299,28.7503763,77.1133773,-0.03,274.23,-0.72,-1.02
300,28.7503763,77.1133773,-0.03,274.23,-0.72,-1.02
301,28.7503763,77.1133773,-0.03,274.23,-0.72,-1.02
302,28.7503763,77.1133773,-0.03,274.23,-0.72,-1.02
303,28.7503763,77.1133773,-0.03,274.23,-0.72,-1.02
304,28.7503763,77.1133774,-0.04,274.18,-0.63,-1.13
305,28.7503763,77.1133774,-0.04,274.18,-0.63,-1.13
306,28.7503763,77.1133774,-0.04,274.18,-0.63,-1.13
307,28.7503763,77.1133774,-0.04,274.18,-0.63,-1.13
308,28.7503763,77.1133774,-0.04,274.18,-0.63,-1.13
309,28.7503763,77.1133774,-0.04,274.18,-0.63,-1.13
310,28.7503763,77.1133774,-0.04,274.18,-0.63,-1.13
311,28.7503763,77.1133774,-0.04,274.18,-0.63,-1.13
312,28.7503762,77.1133774,-0.06,274.21,-0.66,-1.09
313,28.7503762,77.1133774,-0.06,274.21,-0.66,-1.09
314,28.7503762,77.1133774,-0.06,274.21,-0.66,-1.09
315,28.7503762,77.1133774,-0.06,274.21,-0.66,-1.09
316,28.7503762,77.1133774,-0.06,274.21,-0.66,-1.09
317,28.7503762,77.1133774,-0.06,274.21,-0.66,-1.09
318,28.7503762,77.1133774,-0.06,274.21,-0.66,-1.09
319,28.750376,77.1133774,-0.07,274.23,-0.61,-0.85
320,28.750376,77.1133774,-0.07,274.23,-0.61,-0.85
321,28.750376,77.1133774,-0.07,274.23,-0.61,-0.85
322,28.750376,77.1133774,-0.07,274.23,-0.61,-0.85
323,28.750376,77.1133774,-0.07,274.23,-0.61,-0.85
324,28.750376,77.1133774,-0.07,274.23,-0.61,-0.85
325,28.750376,77.1133774,-0.07,274.23,-0.61,-0.85
326,28.750376,77.1133774,-0.07,274.23,-0.61,-0.85
327,28.7503758,77.1133774,-0.08,274.27,-0.69,-0.72
328,28.7503758,77.1133774,-0.08,274.27,-0.69,-0.72
329,28.7503758,77.1133774,-0.08,274.27,-0.69,-0.72
330,28.7503758,77.1133774,-0.08,274.27,-0.69,-0.72
331,28.7503758,77.1133774,-0.08,274.27,-0.69,-0.72
332,28.7503758,77.1133774,-0.08,274.27,-0.69,-0.72
333,28.7503758,77.1133774,-0.08,274.27,-0.69,-0.72
334,28.7503756,77.1133774,-0.09,274.09,-0.61,-1.09
335,28.7503756,77.1133774,-0.09,274.09,-0.61,-1.09
336,28.7503756,77.1133774,-0.09,274.09,-0.61,-1.09
337,28.7503756,77.1133774,-0.09,274.09,-0.61,-1.09
338,28.7503756,77.1133774,-0.09,274.09,-0.61,-1.09
339,28.7503756,77.1133774,-0.09,274.09,-0.61,-1.09
340,28.7503756,77.1133774,-0.09,274.09,-0.61,-1.09
341,28.7503754,77.1133773,-0.08,274.25,-0.67,-1.01
342,28.7503754,77.1133773,-0.08,274.25,-0.67,-1.01
343,28.7503754,77.1133773,-0.08,274.25,-0.67,-1.01
344,28.7503754,77.1133773,-0.08,274.25,-0.67,-1.01
345,28.7503754,77.1133773,-0.08,274.25,-0.67,-1.01
346,28.7503754,77.1133773,-0.08,274.25,-0.67,-1.01
347,28.7503754,77.1133773,-0.08,274.25,-0.67,-1.01
348,28.7503754,77.1133773,-0.08,274.25,-0.67,-1.01
349,28.7503753,77.1133772,-0.08,274.13,-0.45,-1.08
350,28.7503753,77.1133772,-0.08,274.13,-0.45,-1.08
351,28.7503753,77.1133772,-0.08,274.13,-0.45,-1.08
352,28.7503753,77.1133772,-0.08,274.13,-0.45,-1.08
353,28.7503753,77.1133772,-0.08,274.13,-0.45,-1.08
354,28.7503753,77.1133772,-0.08,274.13,-0.45,-1.08
355,28.7503753,77.1133772,-0.08,274.13,-0.45,-1.08
356,28.7503753,77.1133772,-0.08,274.13,-0.45,-1.08
357,28.7503752,77.1133771,-0.08,274.1,-0.25,-0.91
358,28.7503752,77.1133771,-0.08,274.1,-0.25,-0.91
359,28.7503752,77.1133771,-0.08,274.1,-0.25,-0.91
360,28.7503752,77.1133771,-0.08,274.1,-0.25,-0.91
361,28.7503752,77.1133771,-0.08,274.1,-0.25,-0.91
362,28.7503752,77.1133771,-0.08,274.1,-0.25,-0.91
363,28.7503752,77.1133771,-0.08,274.1,-0.25,-0.91
364,28.7503751,77.1133771,-0.08,274.15,-0.26,-0.9
365,28.7503751,77.1133771,-0.08,274.15,-0.26,-0.9
366,28.7503751,77.1133771,-0.08,274.15,-0.26,-0.9
367,28.7503751,77.1133771,-0.08,274.15,-0.26,-0.9
368,28.7503751,77.1133771,-0.08,274.15,-0.26,-0.9
369,28.7503751,77.1133771,-0.08,274.15,-0.26,-0.9
370,28.7503751,77.1133771,-0.08,274.15,-0.26,-0.9
371,28.750375,77.1133771,-0.07,274.23,-0.3,-0.87
372,28.750375,77.1133771,-0.07,274.23,-0.3,-0.87
373,28.750375,77.1133771,-0.07,274.23,-0.3,-0.87
374,28.750375,77.1133771,-0.07,274.23,-0.3,-0.87
375,28.750375,77.1133771,-0.07,274.23,-0.3,-0.87
376,28.750375,77.1133771,-0.07,274.23,-0.3,-0.87
377,28.750375,77.1133771,-0.07,274.23,-0.3,-0.87
378,28.750375,77.1133771,-0.07,274.23,-0.3,-0.87
379,28.7503749,77.1133771,-0.07,274.26,-0.22,-0.77
380,28.7503749,77.1133771,-0.07,274.26,-0.22,-0.77
381,28.7503749,77.1133771,-0.07,274.26,-0.22,-0.77
382,28.7503749,77.1133771,-0.07,274.26,-0.22,-0.77
383,28.7503749,77.1133771,-0.07,274.26,-0.22,-0.77
384,28.7503749,77.1133771,-0.07,274.26,-0.22,-0.77
385,28.7503749,77.1133771,-0.07,274.26,-0.22,-0.77
386,28.7503749,77.1133771,-0.07,274.26,-0.22,-0.77
387,28.7503748,77.1133771,-0.06,274.24,-0.25,-0.58
388,28.7503748,77.1133771,-0.06,274.24,-0.25,-0.58
389,28.7503748,77.1133771,-0.06,274.24,-0.25,-0.58
390,28.7503748,77.1133771,-0.06,274.24,-0.25,-0.58
391,28.7503748,77.1133771,-0.06,274.24,-0.25,-0.58
392,28.7503748,77.1133771,-0.06,274.24,-0.25,-0.58
393,28.7503748,77.1133771,-0.06,274.24,-0.25,-0.58
394,28.7503748,77.1133772,-0.06,274.29,-0.22,-0.62
395,28.7503748,77.1133772,-0.06,274.29,-0.22,-0.62
396,28.7503748,77.1133772,-0.06,274.29,-0.22,-0.62
397,28.7503748,77.1133772,-0.06,274.29,-0.22,-0.62
